CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
UNGA,21-Aug-19,Unga Group Ltd,26.1,36.5,36,36,36,33,3,9.09%,200,-,21-08-2019,2019-08-21,Manufacturing and Allied,Unga Group Ltd
UNGA,04-Jun-20,Unga Group Ltd,26.1,37,27.4,27.4,27.4,27.4,-,-,-,-,04-06-2020,2020-06-04,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Jun-19,Unga Group Ltd,26.1,37,37.25,37.25,37.25,37.25,-,-,-,-,06-06-2019,2019-06-06,Manufacturing and Allied,Unga Group Ltd
UNGA,08-May-19,Unga Group Ltd,26.1,37,31.5,31.5,31.5,31.5,-,-,-,-,08-05-2019,2019-05-08,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Jun-20,Unga Group Ltd,26.1,37,29.8,29.8,29.8,29.1,0.7,2.41%,100,-,30-06-2020,2020-06-30,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Apr-20,Unga Group Ltd,26.1,37,28,28,28,29,-1,3.45%,200,-,28-04-2020,2020-04-28,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Aug-20,Unga Group Ltd,26.1,34.05,32.7,32.7,32.7,32.7,-,-,-,-,19-08-2020,2020-08-19,Manufacturing and Allied,Unga Group Ltd
UNGA,15-May-20,Unga Group Ltd,26.1,36.5,28.1,28.1,28.1,28.1,-,-,-,-,15-05-2020,2020-05-15,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Feb-20,Unga Group Ltd,26.1,37,33,33,33,33,-,-,100,-,05-02-2020,2020-02-05,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Jul-19,Unga Group Ltd,26.1,37,36.5,36.5,36.5,36.5,-,-,-,-,30-07-2019,2019-07-30,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Aug-19,Unga Group Ltd,26.1,36.5,32.9,32.9,32.9,32.9,-,-,200,-,16-08-2019,2019-08-16,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Nov-19,Unga Group Ltd,26.1,37,34.05,34.05,34.05,34.05,-,-,"3,000",-,22-11-2019,2019-11-22,Manufacturing and Allied,Unga Group Ltd
